Date,Close
12/1/2014,236.252
1/1/2015,234.747
2/1/2015,235.342
3/1/2015,235.976
4/1/2015,236.222
5/1/2015,237.001
6/1/2015,237.657
7/1/2015,238.034
8/1/2015,238.033
9/1/2015,237.498
10/1/2015,237.733
11/1/2015,238.017
12/1/2015,237.761
1/1/2016,237.652
2/1/2016,237.336
3/1/2016,238.08
4/1/2016,238.992
5/1/2016,239.557
6/1/2016,240.222
7/1/2016,240.101
8/1/2016,240.545
9/1/2016,241.176
10/1/2016,241.741
11/1/2016,242.026
12/1/2016,242.637
1/1/2017,243.618
2/1/2017,244.006
3/1/2017,243.892
4/1/2017,244.193
5/1/2017,244.004
6/1/2017,244.163
7/1/2017,244.243
8/1/2017,245.183
9/1/2017,246.435
10/1/2017,246.626
11/1/2017,247.284
12/1/2017,247.805
1/1/2018,248.859
2/1/2018,249.529
3/1/2018,249.577
4/1/2018,250.227
5/1/2018,250.792
6/1/2018,251.018
7/1/2018,251.214
8/1/2018,251.663
9/1/2018,252.182
10/1/2018,252.772
11/1/2018,252.594
12/1/2018,252.767
1/1/2019,252.561
2/1/2019,253.319
3/1/2019,254.277
4/1/2019,255.233
5/1/2019,255.296
6/1/2019,255.213
7/1/2019,255.802
8/1/2019,256.036
9/1/2019,256.43
10/1/2019,257.155
11/1/2019,257.879
12/1/2019,258.63
1/1/2020,258.906
2/1/2020,259.246
3/1/2020,258.15
4/1/2020,256.126
5/1/2020,255.848
6/1/2020,257.004
7/1/2020,258.408
8/1/2020,259.366
9/1/2020,259.951
10/1/2020,260.249
11/1/2020,260.895
12/1/2020,262.005
1/1/2021,262.518
2/1/2021,263.583
3/1/2021,264.91
4/1/2021,266.752
5/1/2021,268.452
6/1/2021,270.664
7/1/2021,271.994
8/1/2021,272.789
9/1/2021,273.887
10/1/2021,276.434
11/1/2021,278.799
12/1/2021,280.808
1/1/2022,282.39
2/1/2022,284.535
3/1/2022,287.553
4/1/2022,288.764
5/1/2022,291.359
6/1/2022,294.996
7/1/2022,294.977
8/1/2022,295.209
9/1/2022,296.341
10/1/2022,297.863
11/1/2022,298.648
12/1/2022,298.812
1/1/2023,300.356
2/1/2023,301.509
3/1/2023,301.744
4/1/2023,303.032
5/1/2023,303.365
6/1/2023,304.003
7/1/2023,304.628
8/1/2023,306.187
9/1/2023,307.288
10/1/2023,307.531
11/1/2023,308.024
12/1/2023,308.742
1/1/2024,309.685
2/1/2024,311.054
3/1/2024,312.23
4/1/2024,313.207
5/1/2024,313.225
6/1/2024,313.049
7/1/2024,313.534
8/1/2024,314.121
9/1/2024,314.686
10/1/2024,315.454
